zones,HDB_1-Room,HDB_2-Room,HDB_3-Room,HDB_4-Room,HDB_5-Room,HDB_executive,HDB_studio_apt,HDB_Total
Ang Mo Kio,1318,3512,24363,14118,5947,492,275,50025
Bedok,2530,2205,22637,20397,10390,2715,226,61100
Bishan,564,249,2357,9359,5716,1660,167,20072
Bukit Batok,385,246,10488,14368,5335,2733,173,33728
Bukit Merah,4731,5824,16091,15697,9478,44,536,52401
Bukit Panjang,223,548,3678,16699,10425,3381,371,35325
Bukit Timah,0,45,441,920,682,380,87,2555
Choa Chu Kang,565,1191,2463,23465,15952,4762,502,48900
Clementi,474,716,12233,9050,3132,621,0,26226
Geylang,1231,3523,11706,9607,3591,830,216,30704
Hougang,532,1066,10610,25842,10844,4310,658,53862
Jurong East,352,427,7006,8188,5925,1871,128,23897
Jurong West,540,1832,12814,29193,21995,6507,629,73510
Kallang,4401,2726,13964,11854,5477,504,268,39194
Marine Parade,0,1350,3037,1798,1677,0,0,7862
Pasir Ris,176,330,491,11641,9379,7460,177,29654
Punggol,871,1433,3814,20406,15300,1126,435,43385
Queenstown,575,3253,14210,8794,3972,354,346,31504
Sembawang,601,1184,504,9441,8272,2870,0,22872
Sengkang,685,1631,3737,30619,24069,4462,778,65981
Serangoon,272,324,4541,10231,3754,2365,0,21487
Tampines,1075,965,13238,28840,17313,5846,634,67911
Toa Payoh,1168,3668,15299,10066,6017,854,286,37358
Woodlands,1824,1521,6486,28043,19713,6191,824,64602
Yishun,1038,1414,15403,29657,9837,2741,814,60904
Central Area,2075,1316,4541,3477,901,6,0,12316
DOWNTOWNCORE,2075,1316,4541,3477,901,6,0,12316
Outram,2075,1316,4541,3477,901,6,0,12316
Rochor,2075,1316,4541,3477,901,6,0,12316
Novena,4401,2726,13964,11854,5477,504,268,39194
Tanglin,0,45,441,920,682,380,87,2555
Changi,176,330,491,11641,9379,7460,177,29654
