zones,Total,Males,Females,Total_S,Males_S,Females_S,Total_M,Males_M,Females_M,Total_W,Males_W,Females_W,Total_D,Males_D,Females_D
Ang Mo Kio,157.2,76.1,81.2,51.8,27.2,24.5,87.9,44.1,43.9,10.5,2.1,8.4,7.1,2.7,4.4
Bedok,235.9,114.7,121.3,75.7,40.2,35.5,135.6,68.2,67.4,15.4,2.7,12.7,9.2,3.5,5.6
Bishan,76.3,36.1,40.1,25.2,12.3,12.9,44.2,22.4,21.9,4.3,0.9,3.5,2.5,0.6,1.9
Bukit Batok,120.1,57.6,62.4,41.1,20.8,20.4,68.5,34.4,34.1,6.2,1.1,5.2,4.2,1.4,2.8
Bukit Merah,132.5,63.3,69.2,43,22.6,20.4,71.9,36.7,35.1,10.6,1.5,9.2,7,2.5,4.5
Bukit Panjang,119.6,59.7,59.9,36.8,19.7,17.1,75.4,38.3,37.2,4.4,0.6,3.8,2.9,1,1.9
Bukit Timah,59.1,27.8,31.3,16.7,7.2,9.5,39.5,19.9,19.6,1.8,0.3,1.5,1.1,0.4,0.7
Changi,1.755,0.878,0.877,0.424,0.226,0.198,1.219,0.623,0.596,0.048,0,0.048,0.063,0.029,0.035
Choa Chu Kang,149.3,71.5,77.8,49.6,24.4,25.1,89.5,44.8,44.6,6.1,1,5.1,4.2,1.2,2.9
Clementi,72.7,34.7,38,21.6,10.4,11.1,43.1,22,21.1,5.4,1.1,4.3,2.6,1.2,1.5
Downtown Core,3.323,1.647,1.675,1.178,0.64,0.539,1.796,0.907,0.888,0.218,0.025,0.193,0.131,0.075,0.056
Geylang,92.4,45.2,47.2,29.8,15.9,14,51.1,26.3,24.8,6.3,0.8,5.5,5.2,2.2,3
Hougang,184.6,88.9,95.7,62.7,32.1,30.6,106.3,53.5,52.9,9.3,1.5,7.8,6.3,1.9,4.4
Jurong East,70.6,35.3,35.4,22.4,12.3,10.1,41.7,21.5,20.2,4,0.3,3.7,2.5,1.2,1.4
Jurong West,235.1,116.4,118.7,71.6,38.1,33.4,145.9,73.6,72.2,10.3,1.9,8.4,7.4,2.7,4.7
Kallang,84.8,40.6,44.2,27.9,13.9,14,46.5,23.9,22.6,6.3,1,5.2,4.1,1.7,2.4
Mandai,1.301,0.628,0.672,0.372,0.159,0.213,0.861,0.457,0.404,0.031,0.006,0.025,0.038,0.006,0.032
Marine Parade,35.9,16.6,19.2,11.6,5.7,5.8,20.2,10.2,10,2.4,0.2,2.1,1.7,0.5,1.3
Newton,4.713,2.206,2.506,1.336,0.573,0.763,3.015,1.513,1.502,0.165,0.041,0.124,0.196,0.079,0.117
Novena,37.2,18.5,18.7,12.2,6.6,5.6,22.1,11.2,10.9,1.7,0.3,1.4,1.2,0.4,0.8
Outram,17.4,8.6,8.8,5.1,2.7,2.4,10,5.2,4.8,1.3,0.2,1.1,1,0.4,0.6
Pasir Ris,119.4,58.7,60.7,40.2,20.4,19.8,71.3,36,35.2,4.3,1,3.4,3.7,1.3,2.3
Punggol,82.9,40,42.9,15.2,7.7,7.5,61.2,30.5,30.7,3,0.6,2.3,3.5,1.2,2.3
Queenstown,81.8,39,42.8,27.4,13.9,13.5,43.6,22.7,20.8,6.7,1,5.7,4.1,1.3,2.8
River Valley,6.49,3,3.49,2.131,0.946,1.186,3.82,1.94,1.88,0.3,0.057,0.243,0.239,0.058,0.181
Rochor,12.86,6.291,6.57,4.37,2.359,2.011,7.081,3.62,3.461,0.908,0.126,0.782,0.501,0.186,0.315
Sembawang,64.9,32.3,32.5,18.5,10.1,8.4,41.9,21.2,20.7,2.3,0.3,2,2.1,0.7,1.4
Sengkang,177.8,86.2,91.5,44.3,22.4,21.9,122.1,61.7,60.5,5.8,1.1,4.8,5.6,1.2,4.4
Serangoon,109.4,51.4,58,38.8,19.2,19.6,60.6,30.4,30.3,6.4,0.8,5.6,3.5,1,2.5
Singapore River,1371,680,692,495,264,230,760,372,389,14,0,14,103,44,59
Tampines,215.378,104.976,110.402,74.228,39.215,35.013,125.328,62.711,62.616,9.898,1.366,8.532,5.924,1.684,4.24
Tanglin,14.4,6.5,7.9,3.6,1.4,2.2,9.6,4.8,4.8,0.6,0.1,0.5,0.5,0.2,0.3
Toa Payoh,107.9,51.3,56.6,37.1,18.3,18.8,58.6,29.8,28.8,7.1,1.2,5.8,5.2,2,3.2
Woodlands,201.9,99,102.9,63.8,33.3,30.4,122.6,62.1,60.5,7.8,1.3,6.4,7.7,2.2,5.5
Yishun,172.3,83.9,88.3,52.8,27.8,25,102.9,51.8,51.1,8.3,1.7,6.7,8.3,2.8,5.6
Others,31,15.7,15.3,9.4,4.9,4.6,18.9,10.1,8.8,1.6,0.2,1.3,1.1,0.5,0.6
