zones,price_psqm_mean,price_psqm_median
ANGMOKIO,12030,12616
BEDOK,12722,12686
BISHAN,14350,14619
BUKITBATOK,12058,11866
BUKITMERAH,17639,17647
BUKITPANJANG,11691,11930
BUKITTIMAH,15253,15318
CHANGI,8674,7983
CHOACHUKANG,8375,8313
CLEMENTI,13070,13000
DOWNTOWNCORE,23217,23026
GEYLANG,13530,13945
HOUGANG,11501,11155
JURONGEAST,13771,15238
JURONGWEST,11252,11061
KALLANG,14934,14583
MANDAI,8672,7997
MARINEPARADE,15483,15214
MUSEUM,22883,23333
NEWTON,26865,26015
NOVENA,16656,16249
ORCHARD,27437,26618
OUTRAM,14331,12857
PASIRRIS,9857,9789
PUNGGOL,9496,8801
QUEENSTOWN,15192,16062
RIVERVALLEY,22745,22470
ROCHOR,19340,19540
SEMBAWANG,8981,8764
SENGKANG,10214,10142
SERANGOON,13272,13638
SINGAPORERIVER,19472,19399
SOUTHERNISLANDS,20279,19245
SUNGEIKADUT,7692,6963
TAMPINES,9820,9353
TANGLIN,19913,19381
TOAPAYOH,14410,14686
WOODLANDS,8687,8249
YISHUN,10457,10411
