zones_name|Condominiums and Other Apartments|HDB 1- and 2-Room Flats|HDB 3-Room Flats|HDB 4-Room Flats|HDB 5-Room and Executive Flats|HUDC Flats (excluding those privatised)|Landed Properties|Others
ANGMOKIO|11960|12500|61840|44910|22050|0|16430|1240
BEDOK|50250|9900|60500|70940|47920|0|44960|2750
BISHAN|14940|1150|5320|30680|26590|0|10720|700
BOONLAY|0|0|0|0|0|0|0|0
BUKITBATOK|24870|1460|27460|49090|28450|0|5700|1030
BUKITMERAH|9540|25330|39520|46290|31640|0|510|1620
BUKITPANJANG|16200|2540|10360|58330|50580|0|3230|160
BUKITTIMAH|34930|130|1030|2760|3610|0|32270|900
CENTRALWATERCATCHMENT|0|0|0|0|0|0|0|0
CHANGI|30|0|440|0|10|0|390|1580
CHANGIBAY|0|0|0|0|0|0|0|0
CHOACHUKANG|16400|4180|5920|77040|72640|0|2510|460
CLEMENTI|14440|2730|28360|26720|12180|0|5850|1330
DOWNTOWNCORE|1150|0|1110|970|10|0|0|240
GEYLANG|18150|10160|30310|32370|16210|0|6530|2110
HOUGANG|24370|4380|26310|86420|54880|0|22450|4040
JURONGEAST|6810|2140|18540|28180|28440|0|0|480
JURONGWEST|12340|7330|35480|105010|105260|0|4460|440
KALLANG|17490|12520|27030|24900|15330|0|1480|1510
LIMCHUKANG|0|0|0|0|0|0|0|0
MANDAI|1290|0|0|0|0|0|770|90
MARINAEAST|0|0|0|0|0|0|0|0
MARINASOUTH|0|0|0|0|0|0|0|0
MARINEPARADE|17160|3700|6730|5170|5580|0|9480|500
MUSEUM|370|0|0|0|0|0|0|30
NEWTON|6320|0|0|0|0|0|520|230
NORTH-EASTERNISLANDS|0|0|0|0|0|0|0|0
NOVENA|17890|2100|7710|6600|4930|0|7360|1050
ORCHARD|760|0|0|0|0|0|0|80
OUTRAM|1780|6430|5420|5130|2200|0|0|480
PASIRRIS|27290|1320|810|41080|64390|0|7400|610
PAYALEBAR|0|0|0|0|0|0|0|0
PIONEER|0|0|0|0|0|0|0|0
PUNGGOL|9480|5440|9060|57110|48770|0|290|240
QUEENSTOWN|11130|9020|33550|26140|14650|0|3710|1200
RIVERVALLEY|8500|0|0|0|0|0|760|80
ROCHOR|2000|810|4890|4660|790|0|160|1010
SELETAR|0|0|0|0|0|0|230|0
SEMBAWANG|2870|2260|1040|29080|37700|0|3750|530
SENGKANG|14360|6280|9060|94010|93450|0|1600|620
SERANGOON|14720|1200|10900|34380|22390|0|35360|1030
SIMPANG|0|0|0|0|0|0|0|0
SINGAPORERIVER|2680|0|0|0|0|0|0|170
SOUTHERNISLANDS|1010|0|0|0|0|0|570|20
STRAITSVIEW|0|0|0|0|0|0|0|0
SUNGEIKADUT|0|0|0|0|0|0|670|130
TAMPINES|25130|4920|34520|101800|87010|0|4530|1210
TANGLIN|14730|0|40|210|250|0|4160|280
TENGAH|0|0|0|0|0|0|0|0
TOAPAYOH|8390|11400|37460|30610|24730|2850|5840|1500
TUAS|0|0|0|0|0|0|0|0
WESTERNISLANDS|0|0|0|0|0|0|0|0
WESTERNWATERCATCHMENT|0|0|0|0|0|0|0|800
WOODLANDS|11200|7600|19020|105810|104460|0|600|960
YISHUN|11570|4920|39720|99140|44000|0|5430|1070
