zones,Total,Below 1000,1000 - 1499,1500 - 1999,2000 - 2499,2500 - 2999,3000 - 3999,4000 - 4999,5000 - 5999,6000 - 6999,7000 - 7999,8000 & Over
Ang Mo Kio,91070,12288,9085,8986,8850,7268,12491,8186,6040,4185,2724,10967
Bedok,147667,17582,13131,13185,13403,10797,19091,12647,10048,7684,4912,25187
Bishan,46623,4283,2967,3239,3487,2966,5914,4651,3832,2892,2405,9987
Bukit Batok,75001,7604,6520,6001,7170,5665,10458,7530,5374,3963,2668,12050
Bukit Merah,78447,11884,8178,6569,7040,5438,9560,7610,5964,3820,3152,9232
Bukit Panjang,66005,7457,6177,6021,6268,5555,9670,6581,5143,3262,2267,7605
Bukit Timah,32557,1875,999,765,1264,1085,2501,2293,2133,1898,1784,15961
Changi,1180,123,103,59,65,59,114,329,157,57,30,83
Choa Chu Kang,87543,8586,6920,7293,8085,7315,13485,9934,7314,5033,3463,10112
Clementi,46003,4982,3465,3366,4113,3503,5917,4716,3574,2518,1831,8017
Downtown Core,1970,223,170,187,95,111,257,188,125,147,72,395
Geylang,61514,8518,6710,6324,5824,5246,8376,5592,4027,2546,1929,6422
Hougang,110594,13476,10904,10694,11210,9084,15528,10729,7496,5252,3593,12626
Jurong East,44946,5206,4025,4044,4476,3948,6734,4389,3415,2237,1634,4838
Jurong West,138273,15601,12625,13057,15217,12885,22082,15387,10327,6763,4099,10231
Kallang,50022,7651,5157,4759,4560,3761,6185,4268,2993,2239,1543,6906
Mandai,801,69,53,19,25,25,106,39,64,51,120,230
Marine Parade,21204,1940,1248,1099,1441,1125,2216,1813,1553,1292,891,6587
Newton,2677,149,77,57,144,71,203,167,135,148,89,1437
Novena,22673,2262,1689,1545,1677,1369,2491,1836,1705,1159,820,6120
Outram,8441,2105,1034,778,777,539,932,555,460,348,143,770
Pasir Ris,65991,5596,4362,5193,5465,5273,9449,7292,5606,4134,2861,10760
Punggol,31603,1979,1883,2304,2640,2555,5003,3971,3250,2273,1644,4102
Queenstown,46307,5710,4254,3477,3948,2987,5836,4385,3220,2600,1818,8073
River Valley,3956,129,75,93,159,190,308,271,298,249,147,2037
Rochor,7690,950,770,683,825,623,1099,791,504,345,241,858
Sembawang,37948,3381,2899,3347,3496,3226,6073,4546,3509,2146,1643,3683
Sengkang,88047,7501,6695,7274,8422,6933,13515,10326,7734,5865,3949,9833
Serangoon,62322,6381,4769,4292,4882,4515,8147,5755,4632,3444,2572,12934
Singapore River,900,41,0,0,15,20,45,43,72,52,50,562
Tampines,131051,14180,12057,11534,13252,11525,19380,13511,9446,6743,4568,14853
Tanglin,8025,343,122,124,218,276,614,542,599,355,252,4581
Toa Payoh,62125,8776,5956,5396,5762,4745,8767,5968,4325,2825,2130,7475
Woodlands,121587,13616,12090,13356,14055,11385,18991,12570,8264,5643,3472,8145
Yishun,93894,11485,10715,10648,10374,8790,13619,9033,5965,3828,2565,6872
Others,1384,104,34,25,54,19,142,73,129,60,81,663
