zones,Total,Owner,Tenant,Others
Ang Mo Kio,62.6,54.7,7.7,0.1
Bedok,92.2,82.9,8.7,0.6
Bishan,27.8,25.3,2.3,0.2
Bukit Batok,44,41.3,2.5,0.3
Bukit Merah,55.2,44.3,10.7,0.2
Bukit Panjang,41.2,39.3,1.9,0.1
Bukit Timah,23.9,20.9,2.6,0.5
Changi,0.778,0.259,0.343,0.176
Choa Chu Kang,49.3,47.5,1.5,0.3
Clementi,30.1,26.9,2.9,0.2
Downtown Core,1.429,1.02,0.348,0.061
Geylang,37.5,31.8,5.3,0.4
Hougang,64.3,60.5,3.4,0.4
Jurong East,25.5,24.3,1.2,0
Jurong West,81.6,76.2,5.1,0.3
Kallang,36.5,29.4,6.9,0.1
Mandai,0.489,0.426,0.049,0.013
Marine Parade,15.2,12.4,2.6,0.2
Newton,2.175,1.199,0.835,0.141
Novena,15.7,13,2.5,0.2
Outram,8.4,5.8,2.6,0
Pasir Ris,40.6,38.4,2,0.1
Punggol,33.2,31.9,1.3,0
Queenstown,35.5,31.7,3.6,0.3
River Valley,2.748,1.651,0.916,0.181
Rochor,5.257,4.12,0.994,0.142
Sembawang,23.1,22.1,0.9,0.1
Sengkang,64.6,62.2,2.3,0.1
Serangoon,39,36.3,2.3,0.4
Singapore River,0.798,0.469,0.285,0.044
Tampines,79.9,76.1,3.5,0.3
Tanglin,7,4.9,1.9,0.2
Toa Payoh,43.1,36.8,6.1,0.2
Woodlands,70.4,65.9,4.4,0.1
Yishun,62.9,59.5,3.1,0.3
Others,14.9,10.1,4.5,0.2
